,User_A,User_B,Interaction
436,raptorgirlSK,raptorgirlSK,Tweet
437,Aleksandaer1,CarymaRules,Retweet
438,raptorgirlSK,raptorgirlSK,Tweet
439,Grubsweatcheers,CarymaRules,Retweet
440,shugaminyoongi,CarymaRules,Retweet
441,CCildraeth,CarymaRules,Retweet
442,flipkoin2,CarymaRules,Retweet
443,etowntechie,etowntechie,Tweet
444,LadyErinTodd,CarymaRules,Retweet
445,JackieDuf,CarymaRules,Retweet
446,kacarson09,CarymaRules,Retweet
447,AmazoneArtemis,CarymaRules,Retweet
448,sposullivan5,CarymaRules,Retweet
449,juliannesevy,CarymaRules,Retweet
450,YzabettaSativa,CarymaRules,Retweet
451,mekmtl,CarymaRules,Retweet
452,StutterLoudly,CarymaRules,Retweet
453,Lackadaisical25,CarymaRules,Retweet
454,AveryFunPerson,CarymaRules,Retweet
455,ClerouxSheila,NancyBeauchemin,Retweet
456,gbslover52,CarymaRules,Retweet
457,humanoftoronto,CarymaRules,Retweet
458,notsolittlemiss,CarymaRules,Retweet
459,LynnTownsend,CarymaRules,Retweet
460,DannielOickle,raptorgirlSK,Retweet
461,andre_liliane,CarymaRules,Retweet
462,artisteashlei,CarymaRules,Retweet
463,terrybolea1,CarymaRules,Retweet
464,divergentTea,CarymaRules,Retweet
465,maskedmum,CarymaRules,Retweet
466,Sleeplessjade,CarymaRules,Retweet
467,SomeCanadiaNews,CarymaRules,Retweet
468,BelowZeroGames,CarymaRules,Retweet
469,RandomSecretary,CarymaRules,Retweet
470,HiggsAndRussell,HiggsAndRussell,Tweet
471,MarcInTheCity,CarymaRules,Retweet
472,flipkoin2,CarymaRules,Retweet
473,srtlondon,CarymaRules,Retweet
474,toptopp,CarymaRules,Retweet
475,Karen_JH,CarymaRules,Retweet
476,Grubsweatcheers,CarymaRules,Retweet
477,ChrisToth7,CarymaRules,Retweet
478,mr_viran,CarymaRules,Retweet
479,plain_me9,CarymaRules,Retweet
480,LEAVEOTTAWANOW,CarymaRules,Retweet
481,amanda__pei,CarymaRules,Retweet
482,drspayne_payne,CarymaRules,Retweet
483,fakeezzie,CarymaRules,Retweet
484,nicl1ndy,CarymaRules,Retweet
485,CarymaRules,CarymaRules,Tweet
486,always_chaotic,stythrstymyfrnd,Retweet
487,johnnycannuk,michaelcoren,Retweet
488,Sleeplessjade,CarymaRules,Retweet
489,willshome,davemacladd,Retweet
490,Neil_Hope123,CarymaRules,Retweet
491,misskatsuragi,CarymaRules,Retweet
492,ruthmkb,CarymaRules,Retweet
493,BadLibrarian,CarymaRules,Retweet
494,DebKyle2,CarymaRules,Retweet
495,JustHayleyK,CarymaRules,Retweet
496,Gabriel50694649,TrueNorth911,Retweet
497,dizu555,TrueNorth911,Retweet
498,DoniFromTheBloc,DoniFromTheBloc,Tweet
499,Chuckw12,Manitowan,Retweet
500,StutterLoudly,MISSISSAUGAMUSE,Retweet
501,ucfcVnOiLugA3rx,TrueNorth911,Retweet
502,misskatsuragi,CarymaRules,Retweet
503,fraser_janet,CarymaRules,Retweet
504,burliy36,TrueNorth911,Retweet
505,forwardlemonade,CarymaRules,Retweet
506,StutterLoudly,CarymaRules,Retweet
507,LindsayWiebeRD,CarymaRules,Retweet
508,Tina1wthautism,CarymaRules,Retweet
509,kim_siever,CarymaRules,Retweet
510,BillionOnein7,Speak4Tomorrow,Retweet
511,larryschowalter,michaelcoren,Retweet
512,davidchiarelli,davidchiarelli,Tweet
513,mckim_jodi,CarymaRules,Retweet
514,BlakenetBlake,raptorgirlSK,Retweet
515,gsDetermination,CarymaRules,Retweet
